DE_NO,DATA_ELEMENT_NAME,SIZE,START POSITION,STOP POSITION,FILE NAME,FILE SEGMENT (with RECORD-ID),File Segment Number,File Segment Name
CIP124,SERVICE-TRACKING-PAYMENT-AMT,S9(11)V99,604,616,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP125,FIXED-PAYMENT-IND,X(1),617,617,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP126,FUNDING-CODE,X(2),618,619,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP127,FUNDING-SOURCE-NONFEDERAL-SHARE,X(2),620,621,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP128,MEDICARE-COMB-DED-IND,X(1),622,622,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP129,PROGRAM-TYPE,X(2),623,624,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP130,PLAN-ID-NUMBER,X(12),625,636,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP132,PAYMENT-LEVEL-IND,X(1),637,637,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP133,MEDICARE-REIM-TYPE,X(2),638,639,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP134,NON-COV-DAYS,S9(5),640,644,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP135,NON-COV-CHARGES,S9(11)V99,645,657,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP136,MEDICAID-COV-INPATIENT-DAYS,S9(7),658,664,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP137,CLAIM-LINE-COUNT,9(4),665,668,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP138,FORCED-CLAIM-IND,X(1),669,669,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP139,HEALTH-CARE-ACQUIRED-CONDITION-IND,X(1),670,670,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP140,OCCURRENCE-CODE-01,X(2),671,672,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP141,OCCURRENCE-CODE-02,X(2),673,674,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP142,OCCURRENCE-CODE-03,X(2),675,676,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP143,OCCURRENCE-CODE-04,X(2),677,678,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP144,OCCURRENCE-CODE-05,X(2),679,680,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP145,OCCURRENCE-CODE-06,X(2),681,682,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP146,OCCURRENCE-CODE-07,X(2),683,684,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP147,OCCURRENCE-CODE-08,X(2),685,686,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP148,OCCURRENCE-CODE-09,X(2),687,688,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP149,OCCURRENCE-CODE-10,X(2),689,690,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP150,OCCURRENCE-CODE-EFF-DATE-01,9(8),691,698,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP151,OCCURRENCE-CODE-EFF-DATE-02,9(8),699,706,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP152,OCCURRENCE-CODE-EFF-DATE-03,9(8),707,714,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP153,OCCURRENCE-CODE-EFF-DATE-04,9(8),715,722,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP154,OCCURRENCE-CODE-EFF-DATE-05,9(8),723,730,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP155,OCCURRENCE-CODE-EFF-DATE-06,9(8),731,738,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP156,OCCURRENCE-CODE-EFF-DATE-07,9(8),739,746,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP157,OCCURRENCE-CODE-EFF-DATE-08,9(8),747,754,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP158,OCCURRENCE-CODE-EFF-DATE-09,9(8),755,762,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP159,OCCURRENCE-CODE-EFF-DATE-10,9(8),763,770,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP160,OCCURRENCE-CODE-END-DATE-01,9(8),771,778,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP161,OCCURRENCE-CODE-END-DATE-02,9(8),779,786,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP162,OCCURRENCE-CODE-END-DATE-03,9(8),787,794,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
