Source,Source File,Table Name,Column,,Column Comment (Description),Data Type,Data Format,Is Nullable,Is Primary Key,Is Foreign Key,Foreign Key Table,Foreign Key Column,History,Is PII,Start Position,End Position,Max length,Symmetry Indicator,Precision,Comment,Valid Values,Column Order,Lineage,GAP,Findings
CMS_MMA,Response File,FSM,Total_Number_of_Valid_Dual_Non__Matches,,The total number of valid DET records that are not matched to a beneficiary on the Active Medicare Beneficiary Database. This count does not include PRO records.,NUM,,,,,,,,,157,164,8,,,,Live Data Transmission,16,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,FSM,Total_Number_of_Valid_LIS_Records,,The total number of valid LIS records.,NUM,,,,,,,,,165,172,8,,,,Live Data Transmission,17,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,FSM,Total_Number_of_Valid_Current_Duals,,The total number of valid DET records with Eligibility Month/Year = File Create Month/Year. This count does not include PRO records.,NUM,,,,,,,,,173,180,8,,,,Live Data Transmission,18,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,FSM,Total_Number_of_Valid_Retro_Duals,,The total number of valid DET records with Eligibility Month/Year < File Create Month/Year. This count does not include PRO records.,NUM,,,,,,,,,181,188,8,,,,Live Data Transmission,19,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,FSM,Total_Eligibility_Months,,The total number of Eligibility Months in the file. This count does not include PRO records.,NUM,,,,,,,,,189,190,2,,,,Live Data Transmission,20,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,FSM,Total_Valid_PRO_Records,,The total number of valid PRO records in the file.,NUM,,,,,,,,,191,198,8,,,,Live Data Transmission,21,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,FSM,Total_Invalid_PRO_Records,,The total number of invalid PRO records in the file.,NUM,,,,,,,,,199,206,8,,,,Live Data Transmission,22,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,FSM,Total_Matched_PRO_Records,,The total number of valid PRO records that are matched to a beneficiary on the Active Medicare Beneficiary Database.,NUM,,,,,,,,,207,214,8,,,,Live Data Transmission,23,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,FSM,Filler,,Spaces.,CHAR,,,,,,,,,215,4000,3786,,,,Live Data Transmission,24,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,SRF,Record_Identification_Code,,File Header Record Indentifaction Code,CHAR,,,,,,,,,1,3,3,,,,Live Data Transmission,1,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,SRF,File_Process_Timestamp,,The exact time that the State file is processed.,CHAR,CCYY-MM-DD-hh.mm.ss.nnnnnn.,,,,,,,,4,29,26,,,"CCYY – Year.
MM – Month.
DD – Day.
hh – Hour.
mm – Minute.
ss – Second.
nnnnnn – Microsecond.",Live Data Transmission,2,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,SRF,File_Accept_Indicator,,Y – The State file to CMS is accepted.,CHAR,,,,,,,,,30,30,1,,,,Y,3,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,SRF,Filler,,Filler,CHAR,,,,,,,,,31,31,1,,,,Live Data Transmission,4,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,SRF,Total_Records_in_State_File,,"The total number of DET and LIS records in the file.  Note: This count excludes PRO records.
Total Records = Valid Records + Invalid Records.
Total Records = Matched Records
+ Not Matched Records",NUM,,,,,,,,,32,39,8,,,,Live Data Transmission,5,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,SRF,Duplicate_Records_in_State_File,,The total number of duplicate DET and LIS records in the State file. This count excludes PRO records.,NUM,,,,,,,,,40,47,8,,,,Live Data Transmission,6,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,SRF,Non_Duplicate_Records_in_State_File,,The total number of non-duplicate DET and LIS detail records in the State file. This count excludes PRO records.,NUM,,,,,,,,,48,55,8,,,,Live Data Transmission,7,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
